GEOID,n_segments,total_km,pct_maxspeed,pct_surface,pct_ref,pct_name,median_edit_year,pct_recent,NAME,aland_km2,CTYNAME,POPESTIMATE2019,pop_density,road_density,km_per_1k,urban
17001,3079,3064.352009569529,1.3316011692107828,0.5196492367651835,4.709321208184476,84.60539136083143,2013.0,3.9623254303345243,Adams County,2214.804481,Adams County,65435,29.5443686164368,1.3835767607739136,46.83047313470664,False
17003,802,641.5779828068149,3.7406483790523692,4.114713216957606,5.7356608478802995,60.47381546134664,2013.0,21.820448877805486,Alexander County,609.667772,Alexander County,5761,9.449408783904031,1.052340327424778,111.3657321310215,False
17005,1518,1397.2533041020806,1.6469038208168645,1.844532279314888,4.6772068511198945,74.70355731225297,2013.0,4.216073781291173,Bond County,985.073265,Bond County,16426,16.674901840930584,1.4184257696833145,85.06351540862539,False
17007,1584,1146.574980395051,1.893939393939394,1.893939393939394,1.7676767676767675,83.14393939393939,2013.0,18.75,Boone County,727.18062,Boone County,53544,73.63232534992476,1.5767402882588524,21.41369678012571,False
17009,1920,965.9983779153854,0.0,0.0,0.9375,26.770833333333332,2008.0,1.3020833333333335,Brown County,791.828628,Brown County,6578,8.30735309054777,1.219958894837262,146.85290026077612,False
17011,2680,2738.0676006764547,0.0373134328358209,0.8582089552238806,9.738805970149254,87.61194029850746,2013.0,5.111940298507463,Bureau County,2250.935503,Bureau County,32628,14.495306487686598,1.216413174445565,83.91772712628585,False
17013,682,655.2888146651381,0.1466275659824047,0.2932551319648094,2.6392961876832843,45.894428152492665,2008.0,1.1730205278592376,Calhoun County,657.422422,Calhoun County,4739,7.20845508369351,0.9967545869087169,138.27575747312474,False
17015,1443,1540.2066872658347,1.4553014553014554,0.0693000693000693,6.029106029106029,77.13097713097713,2013.0,3.187803187803188,Carroll County,1153.597403,Carroll County,14305,12.40033998238812,1.3351336291677096,107.66911480362354,False
17017,1278,1066.5267857963784,1.0954616588419406,1.330203442879499,2.5821596244131455,64.55399061032864,2013.0,4.929577464788732,Cass County,973.198204,Cass County,12147,12.481527349797698,1.0958988430237366,87.80166179273716,False
17019,5780,4430.157155065639,3.7197231833910034,4.134948096885814,5.242214532871972,88.5121107266436,2013.0,28.44290657439446,Champaign County,2579.920046,Champaign County,209689,81.27732497955093,1.717168391297363,21.127274940820165,False
17021,2236,2547.3542608949933,0.13416815742397137,0.6261180679785331,4.293381037567084,71.42218246869409,2013.0,18.291592128801433,Christian County,1837.569692,Christian County,32304,17.57974140553032,1.3862626663821758,78.85569158293069,False
17023,1534,1521.3876852969554,0.45632333767926986,0.0651890482398957,2.411994784876141,71.251629726206,2012.0,2.9986962190352022,Clark County,1298.554908,Clark County,15441,11.890910353403399,1.1716005814803445,98.5290904278839,False
17025,1815,1831.645659805257,0.0,0.49586776859504134,0.6611570247933884,63.80165289256199,2012.0,1.6528925619834711,Clay County,1212.81574,Clay County,13184,10.870571320256778,1.5102423223871229,138.9294341478502,False
17027,2476,2117.206344920055,0.9289176090468497,2.3021001615508885,2.10016155088853,69.1437802907916,2013.0,13.247172859450727,Clinton County,1227.502416,Clinton County,37562,30.60034710351234,1.7248082914730938,56.36564466535475,False
17029,1778,933.0527138864921,0.1687289088863892,0.562429696287964,8.942632170978628,86.10798650168728,2012.0,20.528683914510687,Coles County,1316.447134,Coles County,50621,38.45274048049999,0.7087658059244878,18.432127257195475,False
17031,70090,20785.23469450288,5.863889285204737,3.4812384077614493,9.165358824368669,96.74275930945927,2016.0,41.98887145099158,Cook County,2447.357982,Cook County,5150233,2104.405255740801,8.492927821502036,4.03578531194664,True
17033,2170,1811.3473971015892,0.18433179723502305,0.5529953917050692,1.19815668202765,54.516129032258064,2012.0,9.861751152073733,Crawford County,1149.031255,Crawford County,18667,16.245859212941948,1.576412642580022,97.03473493874694,False
17035,1105,1078.1473008338505,0.0,0.0,8.868778280542987,73.21266968325791,2012.0,15.02262443438914,Cumberland County,895.98998,Cumberland County,10766,12.0157593726662,1.203302854830866,100.1437210508871,False
17037,2831,2170.9061690253716,0.31790886612504415,2.154715648180855,4.097492052278347,91.62839985870717,2013.0,16.319321794418933,DeKalb County,1635.154165,DeKalb County,104897,64.15113770021802,1.3276461727542197,20.695598244233594,False
17039,1479,1272.2443893084237,0.1352265043948614,0.5409060175794456,4.3272481406355645,76.40297498309668,2013.0,10.344827586206897,De Witt County,1029.678329,De Witt County,15638,15.187267284907575,1.2355745998306076,81.35595276304026,False
17041,1244,1269.7111067352107,0.8842443729903537,0.964630225080386,9.003215434083602,77.73311897106109,2013.0,11.57556270096463,Douglas County,1079.110176,Douglas County,19465,18.03800986489817,1.1766278689370926,65.23047042050915,False
17043,19936,5927.079953697227,5.98916532905297,1.3292536115569824,6.430577849117175,95.86175762439807,2016.0,38.2373595505618,DuPage County,848.891774,DuPage County,922921,1087.2069070138027,6.98213851898773,6.4220880808836585,True
17045,4407,2068.324986294909,0.04538234626730202,0.2722940776038121,1.6110732924892217,27.819378261856137,2008.0,0.8849557522123894,Edgar County,1614.400675,Edgar County,17161,10.629950956877542,1.281172027690653,120.5247355221088,False
