GEOID,CTYNAME,POPESTIMATE2019,pct_recent,median_edit_year,staleness,exposure,priority
17031,Cook County,5150233,41.98887145099158,2016.0,0.5801112854900842,1.0,0.5801
17097,Lake County,696535,27.198013362502216,2013.0,0.7280198663749778,0.7223702402043346,0.5259
17201,Winnebago County,282572,12.886744252057904,2013.0,0.871132557479421,0.597176100717816,0.5202
17119,Madison County,262966,15.549965698605076,2013.0,0.8445003430139493,0.5871975003088143,0.4959
17043,DuPage County,922921,38.2373595505618,2016.0,0.617626404494382,0.7614230384975124,0.4703
17143,Peoria County,179179,15.219885277246654,2013.0,0.8478011472275335,0.5339607165125285,0.4527
17163,St. Clair County,259686,24.967837704106877,2013.0,0.7503216229589312,0.5854557516438841,0.4393
17089,Kane County,532403,37.297543221110104,2014.0,0.627024567788899,0.6850809407451413,0.4296
17197,Will County,690743,42.29080496341076,2016.0,0.5770919503658924,0.7212114998413988,0.4162
17099,LaSalle County,108669,11.17782909930716,2013.0,0.8882217090069284,0.4645659123004487,0.4126
17111,McHenry County,307774,32.79590051243594,2014.0,0.6720409948756405,0.6090313577939152,0.4093
17179,Tazewell County,131803,17.817523205795787,2013.0,0.8218247679420421,0.49134834137693867,0.4038
17019,Champaign County,209689,28.44290657439446,2013.0,0.7155709342560554,0.5557805825058002,0.3977
17091,Kankakee County,109862,15.574302401038286,2013.0,0.8442569759896171,0.46608104357472957,0.3935
17183,Vermilion County,75758,6.5829978688136395,2013.0,0.9341700213118636,0.4145037079693664,0.3872
17037,DeKalb County,104897,16.319321794418933,2013.0,0.8368067820558107,0.45966357382717243,0.3846
17001,Adams County,65435,3.962325430334524,2013.0,0.9603767456966548,0.3941760683454809,0.3786
17113,McLean County,171517,29.26713197969543,2013.0,0.7073286802030456,0.5278961605436265,0.3734
17161,Rock Island County,141879,27.139492279507984,2014.0,0.7286050772049202,0.5015708343004712,0.3654
17195,Whiteside County,55175,5.802197802197803,2013.0,0.9419780219780219,0.37050959806549055,0.349
17063,Grundy County,51054,4.718093890068412,2008.0,0.9528190610993159,0.3597376045450003,0.3428
17141,Ogle County,50643,5.816285599679102,2013.0,0.941837144003209,0.3586159616689427,0.3378
17199,Williamson County,66597,15.0789330430049,2013.0,0.8492106695699511,0.3966186927790015,0.3368
17077,Jackson County,56750,13.04888152444076,2012.0,0.8695111847555924,0.3744153142503856,0.3256
17095,Knox County,49699,8.987226277372262,2013.0,0.9101277372262774,0.356004879060234,0.324
17117,Macoupin County,44926,6.510416666666667,2013.0,0.9348958333333334,0.3419937596699162,0.3197
17115,Macon County,104009,31.109979633401224,2013.0,0.6889002036659877,0.45848384219147914,0.3158
17073,Henry County,48913,10.73517126148705,2013.0,0.8926482873851295,0.3537926986916034,0.3158
17177,Stephenson County,44498,8.216619981325863,2013.0,0.9178338001867414,0.3406654126350483,0.3127
17167,Sangamon County,194672,42.77563828269862,2016.0,0.5722436171730138,0.5454688353423416,0.3121
17007,Boone County,53544,18.75,2013.0,0.8125,0.3663457041775936,0.2977
17103,Lee County,34096,3.4782608695652173,2013.0,0.9652173913043478,0.30371653169094665,0.2932
17055,Franklin County,38469,9.820089955022487,2013.0,0.9017991004497752,0.3204620039653231,0.289
