gap_id,filled,east,tier,gbm_prob,area_m2,height_m,imperv_frac,dist_road,neigh_completeness,fill_ratio
0,False,False,2,0.0092,25.2,6.1,0.9333,13.8604,0.5385,0.6347
1,False,False,2,0.009,27.5,6.9,1.0,7.3191,0.3333,0.7607
2,False,False,2,0.007,51.8,12.9,0.6634,10.8646,0.4667,0.7083
3,False,True,3,0.9726,186.5,10.1,1.0,41.7541,0.7143,0.6914
4,True,False,2,0.9365,78.2,4.6,1.0,1.2927,0.25,0.8821
5,True,True,3,0.9567,150.5,8.1,1.0,10.1401,0.5556,0.8226
6,False,False,2,0.0174,90.5,18.4,0.0,8.9755,0.7059,0.6585
7,False,False,1,0.0091,43.2,17.4,0.3295,15.7821,0.5333,0.8797
8,True,False,2,0.9687,146.5,5.8,0.3741,2.4178,0.3333,0.7956
9,True,False,3,0.9923,150.8,5.9,0.755,4.5943,0.375,0.6302
10,False,False,3,0.1324,149.8,4.6,0.9467,2.6127,0.4167,0.7941
11,True,False,3,0.9945,179.5,5.3,1.0,0.1469,0.3333,0.4969
12,True,True,3,0.9875,775.5,10.6,1.0,56.951,0.4444,0.6525
13,True,False,3,0.9914,263.2,5.1,0.9242,3.9856,0.2727,0.5444
14,True,True,3,0.798,150.2,7.5,1.0,9.6237,0.6364,0.8597
15,False,False,1,0.0231,64.2,3.7,0.7482,12.443,0.4615,0.8325
16,True,True,3,0.9779,333.0,8.1,1.0,29.9793,0.6667,0.8252
17,False,False,1,0.0088,69.0,3.3,1.0,7.6894,0.75,0.9312
18,True,False,2,0.9702,243.5,3.9,0.8902,4.7601,0.8462,0.4797
19,True,False,3,0.9898,211.0,6.6,0.8578,4.5418,0.7826,0.7965
20,True,False,3,0.9386,114.8,6.5,0.6356,4.0647,0.7083,0.7137
21,False,False,1,0.0018,25.5,7.9,0.36,1.9307,0.8667,0.8889
22,True,True,3,0.9964,367.8,6.1,1.0,10.1056,0.8,0.8957
23,False,False,1,0.0106,30.0,3.3,1.0,2.1017,0.25,0.8026
24,False,False,2,0.0155,35.8,6.3,1.0,1.4632,0.3333,0.7612
25,True,False,3,0.9929,158.0,6.6,0.6478,4.6565,0.4706,0.7956
26,False,False,2,0.0082,33.8,5.9,1.0,10.2396,0.25,0.6919
27,True,True,3,0.8222,7408.8,17.0,1.0,3.9573,0.5,0.5055
28,True,True,3,0.9847,322.2,4.7,1.0,4.6966,0.5,0.7152
29,True,False,3,0.9772,108.5,9.3,0.5479,7.3723,0.75,0.883
30,False,False,3,0.0326,107.8,4.8,1.0,9.2411,0.3,0.7548
31,False,True,3,0.2317,4896.8,20.2,1.0,0.0,0.6667,0.519
32,False,True,2,0.0061,99.8,2.8,1.0,3.7163,0.7778,0.4655
33,True,False,3,0.9522,143.0,6.2,1.0,3.3904,0.8333,0.6516
34,True,False,3,0.9981,3745.0,19.9,1.0,0.0,0.4167,0.8994
35,False,False,2,0.0125,39.5,4.2,1.0,3.3584,0.8125,0.7609
36,False,False,2,0.0476,68.8,6.9,0.7589,0.0,0.6923,0.6817
37,False,True,3,0.0582,103.8,4.7,1.0,14.1265,0.7692,0.6979
38,False,True,3,0.9815,139.0,4.9,0.7965,17.7558,0.7308,0.5195
39,True,False,3,0.9981,4559.2,16.7,1.0,0.0,0.5455,0.9089
40,False,True,3,0.234,114.5,4.6,1.0,14.4716,0.76,0.707
41,False,False,1,0.0206,58.5,3.9,1.0,3.4453,0.8,0.8551
42,False,False,1,0.0222,46.0,2.9,1.0,0.0,0.75,0.7234
43,True,False,3,0.9901,574.5,4.8,1.0,4.268,0.8462,0.9357
44,False,False,3,0.1352,1368.8,8.4,1.0,1.5763,0.75,0.8351
45,True,False,3,0.9958,574.2,17.2,1.0,1.5808,0.8095,0.8894
46,False,True,1,0.2399,69.2,2.9,0.8955,34.6829,0.7812,0.7059
47,False,True,3,0.8904,197.5,5.9,0.9975,12.563,0.8,0.5753
48,False,True,1,0.1555,36.0,18.5,0.0,30.6567,0.7857,0.7421
49,False,False,3,0.0197,85.8,7.5,0.9053,4.6404,0.8889,0.855
50,True,False,3,0.9754,2407.0,14.9,1.0,0.0,0.7647,0.754
51,False,True,3,0.7211,169.2,11.3,0.7965,13.9778,0.7941,0.7946
52,False,True,1,0.1122,32.8,18.1,0.0,42.5364,0.8,0.8799
53,False,False,2,0.0082,51.8,18.6,0.5048,13.8472,0.8571,0.8663
54,False,False,3,0.038,123.0,7.5,0.9841,3.4983,0.8621,0.8815
55,True,True,3,0.2994,2710.5,6.0,0.9918,4.4064,0.9375,0.4844
56,False,False,3,0.1101,341.2,8.7,0.9784,0.0,0.8333,0.715
57,False,False,1,0.0186,73.0,3.8,1.0,2.1769,0.8462,0.867
58,False,True,3,0.9776,552.2,4.9,0.9903,18.6046,0.7222,0.7614
59,True,False,3,0.9954,3107.5,23.4,1.0,3.3854,0.8462,0.9287
60,False,True,2,0.0322,93.8,11.8,0.0311,11.0569,0.6875,0.8037
61,False,True,1,0.0371,25.5,15.5,0.4118,26.6062,0.6111,0.7281
62,False,True,1,0.0615,49.2,13.4,0.0,30.8226,0.5455,0.7612
63,False,True,1,0.3374,58.8,20.8,0.0,26.3958,0.4545,0.8375
64,False,True,1,0.0831,40.0,19.2,0.0,21.8768,0.4545,0.8608
65,False,True,1,0.0249,38.5,3.6,0.7838,38.8174,0.7,0.9325
66,True,False,3,0.9772,1578.8,23.3,1.0,3.6264,0.88,0.8315
67,True,False,1,0.9538,22.0,2.6,1.0,0.0,0.9333,0.7143
68,False,True,3,0.9291,228.2,8.6,0.9289,6.8337,0.6471,0.6273
69,True,True,1,0.0494,71.2,19.8,0.3381,11.0482,0.4706,0.8696
70,True,True,3,0.992,533.8,7.5,0.9198,5.3093,0.5714,0.8196
71,True,True,2,0.0704,66.2,17.4,1.0,7.5435,0.4412,0.7242
72,True,True,3,0.7684,128.2,7.1,1.0,6.3581,0.4444,0.857
